"Applications","PT.Undergrads","RoomAndBoard","OutOfState","Percent.Donating.Alumni","Spending.On.Students","Book.Costs","Top25.Percent","PhD.Students","Accepted","FT.Undergrads","Student.Faculty.Ratio","Graduation.Rate","Terminal.Degrees","Top10.Percent","Personal.Costs","Enrolled"
8506,-0.435683586131978,1.49765568038692,1.77959269806748,0.424160543615831,3.59970554905473,0.306586337215321,2.08047507756286,1.49066252769805,0.87682402761764,0.380192326077609,-2.29633710398615,1.77769212074867,1.24282378143545,2.74605673573221,-0.695114542411071,0.490786388921369
1083,-0.509250095697775,-0.234820119647251,-0.290992901792111,0.343462026870116,-0.236542693418479,0.306586337215321,-1.10057554001576,0.143296556437979,-0.464606864177431,-0.574157914385588,-0.148977255305542,-0.609121968292943,0.156041390579044,-0.825298063035755,0.767064958363818,-0.526243545804861
1456,-0.206445087574271,0.731719010898126,0.116661405983366,1.15044719432727,-0.385151351373712,-0.904761373324987,-0.545154003613146,-0.407898613622959,-0.394026710807435,-0.659717506045175,0.381546942603784,1.25375732071514,-0.523197603706208,-0.428480863172648,0.671063273969507,-0.42938355202141
325,-0.0908405725423036,-0.141813524066469,-0.20896490083729,-0.624920174078466,-0.478031762595732,-0.60192444568991,-0.444168269721761,-2.06148412380577,-0.717553078567012,-0.618690135586722,-0.90686896660458,0.147672742866592,-0.726969301991784,-0.371792691763632,-0.872348421292876,-0.746869087200498
8586,2.2554056075383,0.184621389834705,0.085838763200342,-1.02841275780704,0.790695504096811,-0.904761373324987,0.161746133626549,1.24568689655985,1.78049477741268,1.94582976960267,-1.58897150677371,0.0312427873035867,0.903204284292822,-0.145040006127571,-0.65080607269062,1.85435985696172
3971,0.887199898381553,-1.57976843809483,-1.53657566780608,-1.02841275780704,-0.963499478982991,-1.20759830096006,-1.10057554001576,-0.162922982484764,0.525147194063093,1.60668391832551,1.21522782503273,-0.434477034948434,-0.319425905420633,-0.995362577262801,0.802511734140179,1.22799856382874
2409,0.322971043765305,-1.420198298618,-0.880103090467648,-1.75469940851848,-0.707072941609208,-0.450505981872372,-0.292689668884684,0.51076000314527,-0.0325584108894199,0.0245530595407727,2.04890870746167,-1.13305676832647,0.631508686578721,-0.598545377399694,-0.207721375486108,-0.0225715781309182
6855,0.759115350476817,0.309542013310853,-0.381223702842415,-1.3512068247899,0.809846104348774,0.0400898408964529,0.0607603997351639,1.00071126542166,1.44187323234275,1.5124652836546,-0.831079795474676,-0.667336946074445,1.03905208314987,-0.0883518347185555,0.753772417447682,1.75211875241252
8256,2.3145215527251,0.731719010898126,0.139032678971044,-1.02841275780704,0.0763781146985945,0.669990650377413,0.717167670029166,1.06195517320621,0.706289321787244,0.434826764125297,-0.0731880841756384,-0.201617123822424,1.03905208314987,0.535218050780613,-0.333262039694053,0.798585924722112
1286,-0.513191158710228,-0.0524542459594436,0.859884808574022,0.746954610598692,-0.313336600428851,-0.299087518054833,-0.949096939178686,0.143296556437979,-0.41360964353437,-0.481794788931383,-0.0226619700890361,0.380532653992603,0.0881174911505188,-0.655233548808709,-0.65080607269062,-0.4487555507781
